Date,Price,Ticker,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price
,NVDA,,AAPL,PAM,GOOG,AMZN,TSLA,MSTR,SPY,SPOT,QQQ,KO,DIA,META,BRK-B,PLTR,PEP,GGAL,HUT,COIN,MRVL,PFE,AVGO,YPF
2024-11-12,,YPF,,,,,,,,,,,,,,,,,,,,,,29.790000915527344
2024-11-13,,AAPL,224.5782470703125,,,,,,,,,,,,,,,,,,,,,
2024-11-13,,AMZN,,,,214.10000610351562,,,,,,,,,,,,,,,,,,
2024-11-13,,AVGO,,,,,,,,,,,,,,,,,,,,,172.18861389160156,
2024-11-13,,BRK-B,,,,,,,,,,,,,468.1000061035156,,,,,,,,,
2024-11-13,,COIN,,,,,,,,,,,,,,,,,,284.7200012207031,,,,
2024-11-13,,DIA,,,,,,,,,,,434.840087890625,,,,,,,,,,,
2024-11-13,,GGAL,,,,,,,,,,,,,,,,54.768646240234375,,,,,,
2024-11-13,,GOOG,,,179.86412048339844,,,,,,,,,,,,,,,,,,,
2024-11-13,,HUT,,,,,,,,,,,,,,,,,24.780000686645508,,,,,
2024-11-13,,KO,,,,,,,,,,61.629547119140625,,,,,,,,,,,,
2024-11-13,,META,,,,,,,,,,,,578.572265625,,,,,,,,,,
2024-11-13,,MRVL,,,,,,,,,,,,,,,,,,,89.92212677001953,,,
2024-11-13,,MSTR,,,,,,328.3800048828125,,,,,,,,,,,,,,,,
2024-11-13,146.23631286621094,NVDA,,,,,,,,,,,,,,,,,,,,,,
2024-11-13,,PAM,,73.97000122070312,,,,,,,,,,,,,,,,,,,,
2024-11-13,,PEP,,,,,,,,,,,,,,,160.16017150878906,,,,,,,
2024-11-13,,PFE,,,,,,,,,,,,,,,,,,,,25.793380737304688,,
2024-11-13,,PLTR,,,,,,,,,,,,,,60.70000076293945,,,,,,,,
2024-11-13,,QQQ,,,,,,,,,510.0909118652344,,,,,,,,,,,,,
2024-11-13,,SPOT,,,,,,,,467.3699951171875,,,,,,,,,,,,,,
2024-11-13,,SPY,,,,,,,591.6527099609375,,,,,,,,,,,,,,,
2024-11-13,,TSLA,,,,,330.239990234375,,,,,,,,,,,,,,,,,
2024-11-13,,YPF,,,,,,,,,,,,,,,,,,,,,,30.90999984741211
2024-11-14,,AAPL,227.67079162597656,,,,,,,,,,,,,,,,,,,,,
2024-11-14,,AMZN,,,,211.47999572753906,,,,,,,,,,,,,,,,,,
2024-11-14,,AVGO,,,,,,,,,,,,,,,,,,,,,169.01426696777344,
2024-11-14,,BRK-B,,,,,,,,,,,,,467.70001220703125,,,,,,,,,
2024-11-14,,COIN,,,,,,,,,,,,,,,,,,278.8399963378906,,,,
2024-11-14,,DIA,,,,,,,,,,,432.7539978027344,,,,,,,,,,,
2024-11-14,,GGAL,,,,,,,,,,,,,,,,54.450164794921875,,,,,,
2024-11-14,,GOOG,,,176.73500061035156,,,,,,,,,,,,,,,,,,,
2024-11-14,,HUT,,,,,,,,,,,,,,,,,23.139999389648438,,,,,
2024-11-14,,KO,,,,,,,,,,61.18933868408203,,,,,,,,,,,,
2024-11-14,,META,,,,,,,,,,,,575.7391967773438,,,,,,,,,,
2024-11-14,,MRVL,,,,,,,,,,,,,,,,,,,90.55108642578125,,,
2024-11-14,,MSTR,,,,,,327.6700134277344,,,,,,,,,,,,,,,,
2024-11-14,146.72618103027344,NVDA,,,,,,,,,,,,,,,,,,,,,,
2024-11-14,,PAM,,75.83999633789062,,,,,,,,,,,,,,,,,,,,
2024-11-14,,PEP,,,,,,,,,,,,,,,160.5587615966797,,,,,,,
2024-11-14,,PFE,,,,,,,,,,,,,,,,,,,,25.117656707763672,,
2024-11-14,,PLTR,,,,,,,,,,,,,,59.18000030517578,,,,,,,,
2024-11-14,,QQQ,,,,,,,,,506.5459289550781,,,,,,,,,,,,,
2024-11-14,,SPOT,,,,,,,,477.5,,,,,,,,,,,,,,
2024-11-14,,SPY,,,,,,,587.8482055664062,,,,,,,,,,,,,,,
2024-11-14,,TSLA,,,,,311.17999267578125,,,,,,,,,,,,,,,,,
2024-11-14,,YPF,,,,,,,,,,,,,,,,,,,,,,32.2599983215332
2024-11-15,,AAPL,224.4585418701172,,,,,,,,,,,,,,,,,,,,,
2024-11-15,,AMZN,,,,202.61000061035156,,,,,,,,,,,,,,,,,,
2024-11-15,,AVGO,,,,,,,,,,,,,,,,,,,,,163.51866149902344,
2024-11-15,,BRK-B,,,,,,,,,,,,,470.2799987792969,,,,,,,,,
2024-11-15,,COIN,,,,,,,,,,,,,,,,,,305.8500061035156,,,,
2024-11-15,,DIA,,,,,,,,,,,429.8612365722656,,,,,,,,,,,
2024-11-15,,GGAL,,,,,,,,,,,,,,,,56.02266311645508,,,,,,
2024-11-15,,GOOG,,,173.2869873046875,,,,,,,,,,,,,,,,,,,
2024-11-15,,HUT,,,,,,,,,,,,,,,,,25.260000228881836,,,,,
2024-11-15,,KO,,,,,,,,,,60.39695739746094,,,,,,,,,,,,
2024-11-15,,META,,,,,,,,,,,,552.7160034179688,,,,,,,,,,
2024-11-15,,MRVL,,,,,,,,,,,,,,,,,,,87.68580627441406,,,
2024-11-15,,MSTR,,,,,,340.6499938964844,,,,,,,,,,,,,,,,
2024-11-15,141.94729614257812,NVDA,,,,,,,,,,,,,,,,,,,,,,
2024-11-15,,PAM,,76.37999725341797,,,,,,,,,,,,,,,,,,,,
2024-11-15,,PEP,,,,,,,,,,,,,,,154.21031188964844,,,,,,,
2024-11-15,,PFE,,,,,,,,,,,,,,,,,,,,23.93996238708496,,
2024-11-15,,PLTR,,,,,,,,,,,,,,65.7699966430664,,,,,,,,
2024-11-15,,QQQ,,,,,,,,,494.4770202636719,,,,,,,,,,,,,
2024-11-15,,SPOT,,,,,,,,458.32000732421875,,,,,,,,,,,,,,
2024-11-15,,SPY,,,,,,,580.3186645507812,,,,,,,,,,,,,,,
2024-11-15,,TSLA,,,,,320.7200012207031,,,,,,,,,,,,,,,,,
2024-11-15,,YPF,,,,,,,,,,,,,,,,,,,,,,32.38999938964844
2024-11-18,,AAPL,227.4712677001953,,,,,,,,,,,,,,,,,,,,,
2024-11-18,,AMZN,,,,201.6999969482422,,,,,,,,,,,,,,,,,,
2024-11-18,,AVGO,,,,,,,,,,,,,,,,,,,,,164.34202575683594,
2024-11-18,,BRK-B,,,,,,,,,,,,,472.20001220703125,,,,,,,,,
2024-11-18,,COIN,,,,,,,,,,,,,,,,,,325.4100036621094,,,,
2024-11-18,,DIA,,,,,,,,,,,429.544677734375,,,,,,,,,,,
2024-11-18,,GGAL,,,,,,,,,,,,,,,,58.879032135009766,,,,,,
2024-11-18,,GOOG,,,176.18690490722656,,,,,,,,,,,,,,,,,,,
2024-11-18,,HUT,,,,,,,,,,,,,,,,,25.040000915527344,,,,,
2024-11-18,,KO,,,,,,,,,,60.51435089111328,,,,,,,,,,,,
2024-11-18,,META,,,,,,,,,,,,553.0352172851562,,,,,,,,,,
2024-11-18,,MRVL,,,,,,,,,,,,,,,,,,,88.5643539428711,,,
2024-11-18,,MSTR,,,,,,384.7900085449219,,,,,,,,,,,,,,,,
2024-11-18,140.11770629882812,NVDA,,,,,,,,,,,,,,,,,,,,,,
