Ticker,Mes,Precio_Inicial,Precio_Final,Rendimiento,Inflacion_Mensual,Le_Gano_A_Inflacion,Rendimiento_Acumulado_2024,Inflacion_Acumulada_2024
GGAL,2024-05-01,3263.83855,4128.9602,26.51,4.2,True,318.11,119.83
GGAL,2024-06-01,4264.78389,3928.7328,-7.88,4.6,False,318.11,119.83
GGAL,2024-07-01,3721.3051,3628.388159999999,-2.5,3.9,False,318.11,119.83
GGAL,2024-08-01,3600.6936,5062.761379999999,40.61,3.6,True,318.11,119.83
GGAL,2024-09-01,5224.629000000001,5210.02686,-0.28,3.4,False,318.11,119.83
GGAL,2024-10-01,5260.80114,6075.71118,15.49,3.3,True,318.11,119.83
GGAL,2024-11-01,6081.39232,6234.532980000001,2.52,3.2,False,318.11,119.83
GGAL,2024-12-01,6481.080900000001,7420.6863600000015,14.5,3.1,True,318.11,119.83
GOOG,2024-01-01,4767.919703448277,6070.758344827587,27.33,20.6,True,39.98,119.83
GOOG,2024-02-01,6263.902944827587,5135.064948275862,-18.02,13.2,False,39.98,119.83
GOOG,2024-03-01,5158.846103448275,5666.605241379311,9.84,11.0,False,39.98,119.83
GOOG,2024-04-01,5824.593310344829,6162.739879310345,5.81,8.8,False,39.98,119.83
GOOG,2024-05-01,6197.381051724138,7438.494503448277,20.03,4.2,True,39.98,119.83
GOOG,2024-06-01,7757.528389655172,8498.05528275862,9.55,4.6,True,39.98,119.83
GOOG,2024-07-01,8941.553744827586,7634.607889655172,-14.62,3.9,False,39.98,119.83
GOOG,2024-08-01,7707.015558620689,7359.326179310344,-4.51,3.6,False,39.98,119.83
GOOG,2024-09-01,7091.819482758621,7145.5007379310355,0.76,3.4,False,39.98,119.83
GOOG,2024-10-01,7213.300193103448,6871.375675862069,-4.74,3.3,False,39.98,119.83
GOOG,2024-11-01,6981.314379310345,6502.717448275863,-6.86,3.2,False,39.98,119.83
GOOG,2024-12-01,6535.104124137931,7868.118041379311,20.4,3.1,True,39.98,119.83
HUT,2024-01-01,418.5762,310.98855,-25.7,20.6,False,110.6,119.83
HUT,2024-02-01,318.82458,303.29958999999997,-4.87,13.2,False,110.6,119.83
HUT,2024-03-01,324.0784666666667,399.53759999999994,23.28,11.0,True,110.6,119.83
HUT,2024-04-01,391.5758,286.09090000000003,-26.94,8.8,False,110.6,119.83
HUT,2024-05-01,290.8226833333334,361.3359933333333,24.25,4.2,True,110.6,119.83
